Id,SalePrice
1461,128625.79809872922
1462,148395.13012477718
1463,173172.44075328024
1464,184750.66755461096
1465,202507.66595031234
1466,180844.019668587
1467,165427.16131135527
1468,177213.7268053429
1469,180245.04659756692
1470,119312.43142734138
1471,189088.54843092087
1472,88781.43514364427
1473,92858.94510035419
1474,154252.77894465183
1475,137508.14409517247
1476,419710.18
1477,257044.76666299358
1478,322697.0963636364
1479,305503.9806060606
1480,452944.45454545453
1481,321689.9131286895
1482,210853.05087061628
1483,176976.23096994116
1484,172792.75244629694
1485,166102.09804195806
1486,205563.5992606184
1487,366581.1527272727
1488,252187.87343455563
1489,207248.01866666667
1490,190155.03927456678
1491,190255.8506791317
1492,108190.55365420438
1493,176835.12757700426
1494,289738.5630096419
1495,286991.4055640319
1496,215220.93537057503
1497,189168.91143383164
1498,151413.43097835497
1499,150753.5037056277
1500,155020.84901154405
1501,172496.92989424436
1502,150845.2388749029
1503,295244.2490909091
1504,231471.6780619381
1505,212982.62061943626
1506,167601.04536976916
1507,220831.79454545456
1508,196527.7891657393
1509,159129.782100942
1510,143619.96575548244
1511,150293.30855779123
1512,153568.017242288
1513,152941.60537600028
1514,153721.32400359903
1515,176753.3565289256
1516,164792.62269674474
1517,152769.62732358903
1518,132683.2449629537
1519,222583.80853496314
1520,137935.28935205092
1521,142486.59435976116
1522,164061.08027041605
1523,118784.46984999155
1524,127493.19690585778
1525,127321.63446151887
1526,130867.4367768595
1527,98612.71080919082
1528,127561.75037767898
1529,136463.87116405615
1530,161609.4244359765
1531,129807.77026262625
1532,99953.8196969697
1533,129742.95714285715
1534,120825.77666132023
1535,146625.68655417816
1536,112245.21238418791
1537,87224.46041958043
1538,184493.7606060606
1539,238079.85636363635
1540,122991.81405772004
1541,156250.75424742053
1542,140855.34471560767
1543,223823.8787800079
1544,82421.35900178252
1545,98265.82403755654
1546,121571.73786435787
1547,137382.7879230089
1548,129112.48879275948
1549,106172.10190852625
1550,148682.03033515278
1551,110780.11887445887
1552,140231.14758428276
1553,143540.7109090909
1554,106210.03853628725
1555,170093.8285137085
1556,107641.93830169828
1557,121222.94330096418
1558,96362.33281100531
1559,120745.01043722944
1560,143085.28533910535
1561,139410.02114082893
1562,129960.16556509443
1563,115335.93218808317
1564,160273.79510864746
1565,156305.81315261213
1566,217991.85885524092
1567,88743.48285714285
1568,222434.7147107438
1569,144442.96237603307
1570,129272.90415584418
1571,127295.68106265957
1572,137958.77905623073
1573,247463.05155371904
1574,142732.0865220386
1575,194998.19360475885
1576,202288.81867768592
1577,205840.34989845823
1578,155206.60613085245
1579,143613.22713105078
1580,188736.35980337174
1581,144334.74540573807
1582,120975.95214315495
1583,326521.8754978355
1584,240230.8175757576
1585,136694.19612130296
1586,75715.35454545454
1587,101440.13771359954
1588,143384.53288942692
1589,108238.25313131313
1590,129847.0038933163
1591,107120.92352669554
1592,124739.35815073815
1593,114256.20310450296
1594,158423.9701010101
1595,136645.113038517
1596,244415.7359090909
1597,169436.7042372098
1598,187665.51724879385
1599,202195.2915945166
1600,195565.64012598517
1601,51522.59636363637
1602,113518.0719518163
1603,93472.96106926407
1604,276218.4667099567
1605,256202.07451752797
1606,171681.54598427363
1607,194160.67714285714
1608,212483.0030739122
1609,202955.8301442125
1610,160199.3512877345
1611,161577.18319952776
1612,175647.216017316
1613,173190.63094757093
1614,113922.57834448942
1615,80915.8787878788
1616,81508.72727272728
1617,83090.13030303031
1618,128793.59270246091
1619,138091.25830796442
1620,175654.86208677688
1621,141063.05333333334
1622,143714.29301106633
1623,270072.3430303031
1624,205689.4208382526
1625,128255.82867265024
1626,172607.78126300557
1627,178838.50622412033
1628,263172.4446060606
1629,172063.12355887063
1630,327453.8054545455
1631,243469.9346858697
1632,257386.59757575762
1633,164598.7419191919
1634,177973.30822425257
1635,174256.7151950115
1636,165772.04900543898
1637,173558.4924811957
1638,214006.5953168044
1639,180374.61530259586
1640,252029.13151515147
1641,182783.99675395177
1642,225160.17661774484
1643,238447.41503163506
1644,230450.14435272047
1645,173691.10392828516
1646,154025.8658124486
1647,162654.4628886265
1648,143259.516141868
1649,136075.1218707749
1650,117147.71708890788
